lambda,alpha,excluded,source
4.000000000000001e-08,468749999999.99963,1,ChenDecca2016
4.582059880434852e-08,311845135166.2943,1,ChenDecca2016
5.248818186972651e-08,207461095097.3548,1,ChenDecca2016
6.012599808556044e-08,138017564250.41516,1,ChenDecca2016
6.887523089973728e-08,91818892755.18608,1,ChenDecca2016
7.889760806534325e-08,61084320047.06241,1,ChenDecca2016
9.037839114462041e-08,40637542488.784004,1,ChenDecca2016
1.035298000305034e-07,27034922517.847233,1,ChenDecca2016
1.1859493578730311e-07,17985512675.815186,1,ChenDecca2016
1.3585227432343694e-07,11965215213.706089,1,ChenDecca2016
1.5562081396081252e-07,7960094198.638889,1,ChenDecca2016
1.7826597205261368e-07,5295608856.1300955,1,ChenDecca2016
2.042063396472504e-07,3523007700.3257957,1,ChenDecca2016
2.339214190570292e-07,2343750000.0000024,1,ChenDecca2016
2.6796048735890045e-07,2300292737.5069103,1,ChenDecca2016
3.0695274966724697e-07,1559225675.831475,1,ChenDecca2016
3.516189698598636e-07,1530314879.2531047,1,ChenDecca2016
4.0278479374867716e-07,1037305475.4867694,1,ChenDecca2016
4.6139601097126e-07,1018072000.7843759,1,ChenDecca2016
5.285360377160221e-07,677292374.813064,1,ChenDecca2016
6.054459434456454e-07,450582041.9641212,1,ChenDecca2016
6.935473918085798e-07,299758544.5969204,1,ChenDecca2016
7.94468919796581e-07,199420253.56176722,1,ChenDecca2016
9.100760409130799e-07,132668236.64398171,1,ChenDecca2016
1.0425057288032024e-06,88260147.6021684,1,ChenDecca2016
1.1942059187681621e-06,58716795.00543001,1,ChenDecca2016
1.367980757341359e-06,39062499.99999987,1,ChenDecca2016
1.567042436355181e-06,25987094.59719114,1,ChenDecca2016
1.795070569640486e-06,17288424.5914462,1,ChenDecca2016
2.0562802099247514e-06,11501463.68753457,1,ChenDecca2016
2.3554997632070888e-06,7651574.396265491,1,ChenDecca2016
2.698260240841243e-06,5090360.003921888,1,ChenDecca2016
3.0908974991327845e-06,3386461.874065325,1,ChenDecca2016
3.5406693563281864e-06,2252910.209820597,1,ChenDecca2016
4.0558897518791094e-06,1498792.7229846048,1,ChenDecca2016
4.646082427888032e-06,997101.2678088382,1,ChenDecca2016
5.322156973504775e-06,663341.1832199057,1,ChenDecca2016
6.0966104864181864e-06,441300.738010843,1,ChenDecca2016
6.983758579113808e-06,293583.97502714896,1,ChenDecca2016
8.000000000000003e-06,195312.49999999974,1,ChenDecca2016
