lambda,alpha,excluded,source
2e-05,10000.0,1,Chiaverini2003
2.114133507884709e-05,8949.425809764445,1,Chiaverini2003
2.234780244580448e-05,8009.222232447832,1,Chiaverini2003
2.362311898913155e-05,7167.794016320784,1,Chiaverini2003
2.497121370783528e-05,6414.764076873639,1,Chiaverini2003
2.6396239816142265e-05,5740.8455193122745,1,Chiaverini2003
2.790258753873338e-05,5137.7271060404055,1,Chiaverini2003
2.9494897636161282e-05,4597.97075663244,1,Chiaverini2003
3.117807570211903e-05,4114.919816194852,1,Chiaverini2003
3.2957307276607956e-05,3682.6169608165364,1,Chiaverini2003
3.483807382156464e-05,3295.7307276607958,1,Chiaverini2003
3.6826169608165446e-05,2949.489763616128,1,Chiaverini2003
3.892771956783404e-05,2639.6239816142215,1,Chiaverini2003
4.1149198161948515e-05,2362.31189891316,1,Chiaverini2003
4.349744932838162e-05,2114.1335078847083,1,Chiaverini2003
4.59797075663244e-05,1892.0280980751259,1,Chiaverini2003
4.860362022435325e-05,1693.2565093713065,1,Chiaverini2003
5.137727106040395e-05,1515.3673507519288,1,Chiaverini2003
5.430920514623767e-05,1356.1667680093688,1,Chiaverini2003
5.740845519312286e-05,1213.6913875967875,1,Chiaverini2003
6.068456937983936e-05,1086.1841029247557,1,Chiaverini2003
6.414764076873639e-05,972.072404487065,1,Chiaverini2003
6.780833840046841e-05,869.9489865676325,1,Chiaverini2003
7.167794016320785e-05,778.5543913566794,1,Chiaverini2003
7.576836753759629e-05,696.7614764312942,1,Chiaverini2003
8.009222232447817e-05,623.5615140423807,1,Chiaverini2003
8.466282546856551e-05,558.0517507746677,1,Chiaverini2003
8.949425809764446e-05,499.42427415670664,1,Chiaverini2003
9.46014049037563e-05,446.9560489160905,1,Chiaverini2003
0.0001,400.00000000000006,1,Chiaverini2003
