lambda,alpha,excluded,source
1e-07,11313708498984.762,1,Decca2005
1.0570667539423544e-07,9316365876917.844,1,Decca2005
1.1173901222902238e-07,7671637744634.166,1,Decca2005
1.1811559494565774e-07,6317272900446.237,1,Decca2005
1.2485606853917639e-07,5202010082739.576,1,Decca2005
1.319811990807113e-07,4283637786015.654,1,Decca2005
1.3951293769366688e-07,3527396600530.551,1,Decca2005
1.474744881808064e-07,2904663605791.837,1,Decca2005
1.5589037851059514e-07,2391869023614.3643,1,Decca2005
1.6478653638303975e-07,1969604127210.5698,1,Decca2005
1.7419036910782318e-07,1621886641628.4133,1,Decca2005
1.8413084804082723e-07,1335555831728.5383,1,Decca2005
1.9463859783917017e-07,1099774382427.3818,1,Decca2005
2.0574599080974255e-07,905618217905.681,1,Decca2005
2.1748724664190805e-07,745738734878.0233,1,Decca2005
2.2989853783162195e-07,614084665813.7733,1,Decca2005
2.430181011217662e-07,505673044929.4601,1,Decca2005
2.5688635530201974e-07,416400608260.39014,1,Decca2005
2.7154602573118833e-07,342888489505.7219,1,Decca2005
2.870422759656143e-07,282354333550.8132,1,Decca2005
3.034228468991968e-07,232506987300.29538,1,Decca2005
3.207382038436819e-07,191459781982.52325,1,Decca2005
3.3904169200234204e-07,157659124753.31778,1,Decca2005
3.583897008160392e-07,129825696867.50795,1,Decca2005
3.788418376879814e-07,106906032831.94669,1,Decca2005
4.004611116223908e-07,88032647862.68637,1,Decca2005
4.233141273428275e-07,72491204513.202,1,Decca2005
4.474712904882222e-07,59693475765.62329,1,Decca2005
4.730070245187814e-07,49155081266.88781,1,Decca2005
5e-07,40477154050.155266,1,Decca2005
