lambda,alpha,excluded,source
4.9999999999999996e-05,3482.202253184498,1,EotWashMaster
5.4605399957427715e-05,2971.501361632138,1,EotWashMaster
5.9634994090212944e-05,2535.7000254958543,1,EotWashMaster
6.512785407509833e-05,2163.813452122409,1,EotWashMaster
7.112665040279466e-05,1846.4678820478052,1,EotWashMaster
7.767798385753464e-05,1575.664314356636,1,EotWashMaster
8.483274752854586e-05,1344.576884155454,1,EotWashMaster
9.26465221656747e-05,1147.3808100701783,1,EotWashMaster
0.0001011800079504272,979.1055750182694,1,EotWashMaster
0.00011049949603657588,835.5096395356492,1,EotWashMaster
0.00012067738352342851,712.9735296869951,1,EotWashMaster
0.0001317927358622541,608.4086047371619,1,EotWashMaster
0.00014393190106484026,519.1792049849663,1,EotWashMaster
0.00015718918048557038,443.0362174204761,1,EotWashMaster
0.0001716675613878973,378.06038466414856,1,EotWashMaster
0.00018747951698604794,322.61392823502035,1,EotWashMaster
0.00020474788017697026,275.2992667657848,1,EotWashMaster
0.00022360679774997895,234.92378861760383,1,EotWashMaster
0.000244202772486745,200.46979095444408,1,EotWashMaster
0.00026669580124702875,171.06882756234862,1,EotWashMaster
0.00029126061788121283,145.97981882570457,1,EotWashMaster
0.000318088050625023,124.57037210136203,1,EotWashMaster
0.00034738650452115796,106.30084165263652,1,EotWashMaster
0.0003793835803838117,90.71072635846588,1,EotWashMaster
0.0004143278428827794,77.40706233887448,1,EotWashMaster
0.0004524907514822488,66.0545179216856,1,EotWashMaster
0.0004941687692345046,56.36694128456865,1,EotWashMaster
0.0005396856658103985,48.10014772259702,1,EotWashMaster
0.0005893950326573497,41.04576473744277,1,EotWashMaster
0.0006436830298235145,35.02597980775059,1,EotWashMaster
0.0007029713857864377,29.889058453181182,1,EotWashMaster
0.0007677206735899122,25.505519620610297,1,EotWashMaster
0.0008384338887392595,21.76487198940514,1,EotWashMaster
0.0009156603566493744,18.572828931209095,1,EotWashMaster
0.001,15.848931924611135,1,EotWashMaster
