lambda,alpha,excluded,source
6.000000000000003e-06,179304.7845466395,1,Smullin2005
6.308670788269493e-06,158170.44716047242,1,Smullin2005
6.6332211857941336e-06,139527.1766907944,1,Smullin2005
6.9744681211582924e-06,123081.3554921104,1,Smullin2005
7.333270549944685e-06,108573.97411077077,1,Smullin2005
7.710531616818828e-06,95776.5520786937,1,Smullin2005
8.107200928842209e-06,84487.53951590625,1,Smullin2005
8.524276945736353e-06,74529.14286982101,1,Smullin2005
8.962809493114333e-06,65744.5247990024,1,Smullin2005
9.42390240500581e-06,57995.33410167369,1,Smullin2005
9.908716302327124e-06,51159.52678717655,1,Smullin2005
1.0418471514290133e-05,45129.443973878275,1,Smullin2005
1.0954451150103326e-05,39810.11634184858,1,Smullin2005
1.1518004328696995e-05,35117.76843669638,1,Smullin2005
1.2110549574602043e-05,30978.499268464137,1,Smullin2005
1.2733578388530233e-05,27327.11842599392,1,Smullin2005
1.3388659001643394e-05,24106.119376431616,1,Smullin2005
1.4077440322961504e-05,21264.773780100317,1,Smullin2005
1.4801656089845709e-05,18758.332556875404,1,Smullin2005
1.556312923200347e-05,16547.321121451012,1,Smullin2005
1.6363776460000543e-05,14596.917687977499,1,Smullin2005
1.7205613089829557e-05,12876.404852830126,1,Smullin2005
1.8090758115679145e-05,11358.685818345553,1,Smullin2005
1.902143954367237e-05,10019.857638409594,1,Smullin2005
2e-05,8838.834764831845,1,Smullin2005
