lambda,alpha,excluded,source
1e-07,1e-06,0,Sushkov2011
1.0476157527896641e-07,1e-06,0,Sushkov2011
1.0974987654930567e-07,1e-06,0,Sushkov2011
1.1497569953977356e-07,1e-06,0,Sushkov2011
1.204503540258781e-07,1e-06,0,Sushkov2011
1.261856883066021e-07,1e-06,0,Sushkov2011
1.3219411484660288e-07,1e-06,0,Sushkov2011
1.3848863713938745e-07,1e-06,0,Sushkov2011
1.45082877849594e-07,1e-06,0,Sushkov2011
1.519911082952933e-07,1e-06,0,Sushkov2011
1.5922827933410937e-07,1e-06,0,Sushkov2011
1.668100537200059e-07,1e-06,0,Sushkov2011
1.747528400007683e-07,1e-06,0,Sushkov2011
1.8307382802953697e-07,1e-06,0,Sushkov2011
1.9179102616724887e-07,1e-06,0,Sushkov2011
2.009233002565046e-07,1e-06,0,Sushkov2011
2.104904144512022e-07,1e-06,0,Sushkov2011
2.2051307399030456e-07,1e-06,0,Sushkov2011
2.310129700083158e-07,1e-06,0,Sushkov2011
2.4201282647943835e-07,1e-06,0,Sushkov2011
2.5353644939701113e-07,1e-06,0,Sushkov2011
2.656087782946684e-07,1e-06,0,Sushkov2011
2.782559402207126e-07,1e-06,0,Sushkov2011
2.915053062825176e-07,1e-06,0,Sushkov2011
3.0538555088334124e-07,1e-06,0,Sushkov2011
3.199267137797384e-07,1e-06,0,Sushkov2011
3.3516026509388407e-07,1e-06,0,Sushkov2011
3.5111917342151345e-07,1e-06,0,Sushkov2011
3.678379771828634e-07,1e-06,0,Sushkov2011
3.853528593710527e-07,1e-06,0,Sushkov2011
4.037017258596558e-07,1e-06,0,Sushkov2011
4.229242874389499e-07,1e-06,0,Sushkov2011
4.4306214575838777e-07,1e-06,0,Sushkov2011
4.641588833612782e-07,1e-06,0,Sushkov2011
4.862601580065354e-07,1e-06,0,Sushkov2011
5.094138014816385e-07,1e-06,0,Sushkov2011
5.336699231206313e-07,1e-06,0,Sushkov2011
5.590810182512223e-07,1e-06,0,Sushkov2011
5.857020818056673e-07,1e-06,0,Sushkov2011
6.135907273413176e-07,1e-06,0,Sushkov2011
6.428073117284319e-07,1e-06,0,Sushkov2011
6.734150657750828e-07,1e-06,0,Sushkov2011
7.054802310718645e-07,1e-06,0,Sushkov2011
7.390722033525775e-07,1e-06,0,Sushkov2011
7.742636826811278e-07,1e-06,0,Sushkov2011
8.111308307896872e-07,1e-06,0,Sushkov2011
8.497534359086439e-07,1e-06,0,Sushkov2011
8.902150854450393e-07,1e-06,0,Sushkov2011
9.326033468832199e-07,1e-06,0,Sushkov2011
9.770099572992247e-07,1e-06,0,Sushkov2011
1.0235310218990268e-06,1e-06,0,Sushkov2011
1.0722672220103232e-06,1e-06,0,Sushkov2011
1.1233240329780266e-06,1e-06,0,Sushkov2011
1.1768119524349991e-06,1e-06,0,Sushkov2011
1.232846739442066e-06,1e-06,0,Sushkov2011
1.2915496650148827e-06,1e-06,0,Sushkov2011
1.3530477745798075e-06,1e-06,0,Sushkov2011
1.4174741629268049e-06,1e-06,0,Sushkov2011
1.4849682622544636e-06,1e-06,0,Sushkov2011
1.5556761439304722e-06,1e-06,0,Sushkov2011
1.6297508346206435e-06,1e-06,0,Sushkov2011
1.7073526474706922e-06,1e-06,0,Sushkov2011
1.788649529057435e-06,1e-06,0,Sushkov2011
1.873817422860387e-06,1e-06,0,Sushkov2011
1.9630406500402726e-06,1e-06,0,Sushkov2011
2.0565123083486514e-06,1e-06,0,Sushkov2011
2.1544346900318865e-06,1e-06,0,Sushkov2011
2.2570197196339214e-06,1e-06,0,Sushkov2011
2.364489412645407e-06,1e-06,0,Sushkov2011
2.477076355991714e-06,1e-06,0,Sushkov2011
2.5950242113997373e-06,1e-06,0,Sushkov2011
2.71858824273294e-06,1e-06,0,Sushkov2011
2.848035868435805e-06,1e-06,0,Sushkov2011
2.9836472402833405e-06,1e-06,0,Sushkov2011
3.1257158496882352e-06,1e-06,0,Sushkov2011
3.2745491628777315e-06,1e-06,0,Sushkov2011
3.430469286314919e-06,1e-06,0,Sushkov2011
3.5938136638046257e-06,1e-06,0,Sushkov2011
3.764935806792471e-06,1e-06,0,Sushkov2011
3.944206059437656e-06,1e-06,0,Sushkov2011
4.132012400115334e-06,1e-06,0,Sushkov2011
4.328761281083061e-06,1e-06,0,Sushkov2011
4.534878508128582e-06,1e-06,0,Sushkov2011
4.750810162102793e-06,1e-06,0,Sushkov2011
4.977023564332114e-06,1e-06,0,Sushkov2011
5.214008287999685e-06,1e-06,0,Sushkov2011
5.4622772176843374e-06,1e-06,0,Sushkov2011
5.72236765935022e-06,1e-06,0,Sushkov2011
5.994842503189409e-06,1e-06,0,Sushkov2011
6.280291441834259e-06,1e-06,0,Sushkov2011
6.579332246575683e-06,1e-06,0,Sushkov2011
6.892612104349695e-06,1e-06,0,Sushkov2011
7.220809018385471e-06,1e-06,0,Sushkov2011
7.564633275546291e-06,1e-06,0,Sushkov2011
7.924828983539185e-06,1e-06,0,Sushkov2011
8.302175681319752e-06,1e-06,0,Sushkov2011
8.697490026177835e-06,1e-06,0,Sushkov2011
9.111627561154906e-06,1e-06,0,Sushkov2011
9.545484566618346e-06,1e-06,0,Sushkov2011
1e-05,1e-06,0,Sushkov2011
