lambda,alpha,excluded,source
7.000000000000002e-05,1020.4081632653055,1,Tan2016
7.360239459142223e-05,922.9668787995478,1,Tan2016
7.73901784227344e-05,834.8305021737632,1,Tan2016
8.137289213958094e-05,755.1104848596179,1,Tan2016
8.556056737575232e-05,683.003128012504,1,Tan2016
8.996375202080127e-05,617.7814799665883,1,Tan2016
9.459353678799817e-05,558.7880074580293,1,Tan2016
9.946158314954916e-05,505.4279666910746,1,Tan2016
0.000104580152709438,457.16340741736684,1,Tan2016
0.00010996213808787497,413.50774958046577,1,Tan2016
0.00011562109539514604,374.0208778499142,1,Tan2016
0.00012157127837665714,338.30470459030306,1,Tan2016
0.00012782767431517635,305.99915653333744,1,Tan2016
0.0001344060417807058,276.778544692452,1,Tan2016
0.00014132295032306683,250.3482809232046,1,Tan2016
0.00014859582220717605,226.44190802739223,1,Tan2016
0.000156242976296134,204.81841345982778,1,Tan2016
0.000164283674192661,185.25979955585916,1,Tan2016
0.0001727381687550981,167.5688857838396,1,Tan2016
0.00018162775511017712,151.56732086591214,1,Tan2016
0.0001909748242910494,137.09378472626807,1,Tan2016
0.0002008029196356761,124.00236213978864,1,Tan2016
0.000211136796087638,112.16107168497358,1,Tan2016
0.0002220024825487281,101.45053517077478,1,Tan2016
0.00023342734744038272,91.7627741231317,1,Tan2016
0.0002454401676390863,83.00012119796669,1,Tan2016
0.00025807120095938327,75.07423554603024,1,Tan2016
0.0002713522623670678,67.90521220297799,1,Tan2016
0.00028531680411451475,61.420776525979626,1,Tan2016
0.00030000000000000014,55.55555555555551,1,Tan2016
